,Tweet Id,Text,viewCount,Media,Outlinks,Tcooutlinks,replyCount,retweetCount,likeCount,quoteCount,mentionedUsers,Date,time,categorias
13,1570528725502160897,@felipebailez Nosso curso já é um sucesso 🔥,,,[],[],0,0,2,0,"[User(username='felipebailez', id=1529328144, displayname='felipe bailez', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",15/09/2022,18:43:21,Interação
14,1570528195304390656,@arrocha09 A main() 🙏,,,[],[],0,0,2,0,"[User(username='arrocha09', id=1102983200694038528, displayname='Ouçam FOFOCA feat. TUYO', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",15/09/2022,18:41:15,Interação
15,1570146317195776006,"Lembrando que o curso foi feito para pessoas ligadas a USP, como alunos, ex-alunos, professores, ex-professores, funcionários e ex-funcionários
Portanto, é necessário inscrever-se no curso com um e-mail ligado a instituição, como https://t.co/cgN2mQLsgA ou https://t.co/JjkMNnWQLc",,,"['http://usp.br', 'http://alumni.br']","['https://t.co/cgN2mQLsgA', 'https://t.co/JjkMNnWQLc']",0,0,3,0,,14/09/2022,17:23:48,Divulgação
16,1570145309770096641,"@pedro_dnts Pedro, você está usando um e-mail ligado a USP pra fazer a inscrição?",,,[],[],1,0,0,0,"[User(username='pedro_dnts', id=742520767913549824, displayname='Pedro Dantas', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",14/09/2022,17:19:48,Interação
17,1570071278500958209,@allstarazul29 SE LIGUEM 🧐,,,[],[],0,0,0,0,"[User(username='allstarazul29', id=2235384218, displayname='lais iludida pelo corinthians do lazaro', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",14/09/2022,12:25:37,Interação
18,1570065463203315713,"Ainda sobrou alguma dúvida?
Só responder esse tweet ou chamar a gente na DM 😉",,,[],[],2,0,8,0,,14/09/2022,12:02:31,Interação
19,1570065461076705283,"👨‍🏫 O formato é híbrido, com aulas síncronas e assíncronas

🕘 A carga horária total é de 30 horas

🤯 Você não precisa saber nada de programação ou Python para participar!

Confira mais algumas informações na imagem 👇 https://t.co/EeJGDipUH0",,"[Photo(previewUrl='https://pbs.twimg.com/media/Fcn8f0kXgAAb8kn?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fcn8f0kXgAAb8kn?format=jpg&name=large', altText=None)]",[],[],2,0,9,0,,14/09/2022,12:02:30,Divulgação
20,1570065456601464832,"Finalmente chegou a hora do tão aguardado curso de Python 🤩🙌

Amanhã, às 17h, no auditório FUNCADI da FEA teremos a apresentação da edição 2022 do nosso curso!

✍️As inscrições são GRATUITAS e acabam hoje: https://t.co/iaa9Id1wNk https://t.co/miWOm1RmO3",,"[Photo(previewUrl='https://pbs.twimg.com/media/Fcn6fBGXkAAicSm?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fcn6fBGXkAAicSm?format=jpg&name=large', altText=None)]",['http://bit.ly/3eE5joM'],['https://t.co/iaa9Id1wNk'],3,10,58,1,,14/09/2022,12:02:29,Divulgação
21,1562123798786281474,🤝 Confira mais informações dos nossos convidados e parceiros em nosso post do Instagram: https://t.co/Hn54Esc0vB,,,['http://instagram.com/p/Chm4Zzwut1d/'],['https://t.co/Hn54Esc0vB'],0,0,0,0,,23/08/2022,14:05:11,Divulgação
22,1562123576479809536,"Nos dias 24, 25 e 26 de agosto, o FEA Dev e outras entidades da USP vão realizar o evento dev+.

Contaremos com a presença de vários convidados que irão tratar sobre temas como NFTs, Smart Contracts e Scrapping

⏰ A partir das 14h
📍InovaUSP e Sala da Congregação na FEA https://t.co/wUhkjiljbm",,"[Photo(previewUrl='https://pbs.twimg.com/media/Fa3Fdn4WYAAUTAU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fa3Fdn4WYAAUTAU?format=jpg&name=large', altText=None)]",[],[],1,2,8,0,,23/08/2022,14:04:18,Divulgação
